freq,word,pron,type1
9,楽しかっ,タノシカッ,形容詞
9,おととい,オトトイ,名詞
9,あまり,アマリ,名詞
9,こうして,コーシテ,接続詞
8,分から,ワカラ,動詞
8,分かる,ワカル,動詞
8,病院,ビョーイン,名詞
8,許可,キョカ,名詞
8,蹴り,ケリ,動詞
8,真剣,シンケン,名詞
8,ちょ,チョ,名詞
8,ほか,ホカ,名詞
8,いき,イキ,動詞
8,きり,キリ,名詞
8,おけ,オケ,動詞
8,起き,オキ,動詞
8,バイ,バイ,名詞
8,わる,ワル,名詞
8,そのうち,ソノウチ,副詞
8,痛い,イタイ,形容詞
8,逃げ,ニゲ,動詞
8,通り,トーリ,名詞
8,出る,デル,動詞
8,嬉しい,ウレシイ,形容詞
8,選挙,センキョ,名詞
8,暮らし,クラシ,名詞
8,恥ずかしい,ハズカシイ,形容詞
8,生まれ,ウマレ,動詞
8,どうも,ドーモ,副詞
8,どっち,ドッチ,名詞
8,合わせ,アワセ,動詞
8,弱い,ヨワイ,形容詞
8,一つ,ヒトツ,名詞
8,帰れ,カエレ,動詞
8,一生懸命,イッショーケンメイ,名詞
8,しまう,シマウ,動詞
8,悪く,ワルク,形容詞
8,せめて,セメテ,副詞
8,そいつ,ソイツ,名詞
8,以上,イジョー,名詞
8,上手,ジョーズ,名詞
8,たぶん,タブン,副詞
8,たった,タッタ,副詞
8,借り,カリ,名詞
8,天才,テンサイ,名詞
8,手伝っ,テツダッ,動詞
8,頼む,タノム,動詞
8,美佐枝,ミサエ,名詞
8,決め,キメ,動詞
8,気分,キブン,名詞
8,大勢,タイセイ,名詞
8,みなさん,ミナサン,名詞
8,話す,ハナス,動詞
8,磯貝,イソガイ,名詞
8,そうですね,ソーデスネ,フィラー
8,いいえ,イーエ,感動詞
7,読書,ドクショ,名詞
7,普段,フダン,名詞
7,喧嘩,ケンカ,名詞
7,祝っ,イワッ,動詞
7,発表,ハッピョー,名詞
7,祭り,マツリ,名詞
7,勝負,ショーブ,名詞
7,馬鹿,バカ,名詞
7,未来,ミライ,名詞
7,出かけ,デカケ,動詞
7,卒業,ソツギョー,名詞
7,お互い,オタガイ,名詞
7,っと,ット,助詞
7,なぜ,ナゼ,副詞
7,みよ,ミヨ,動詞
7,いれ,イレ,動詞
7,がる,ガル,動詞
7,えと,エト,フィラー
7,ぜん,ゼン,名詞
7,方法,ホーホー,名詞
7,バス,バス,名詞
7,受験,ジュケン,名詞
7,もし,モシ,副詞
7,よぅ,ヨー,形容詞
7,用事,ヨージ,名詞
7,なかなか,ナカナカ,副詞
7,勝っ,カッ,動詞
7,遠い,トーイ,形容詞
7,別に,ベツニ,副詞
